Disease|Genes|Count
C0009324|ENSG00000067182;;ENSG00000070019;;ENSG00000085563;;ENSG00000090339;;ENSG00000099866;;ENSG00000100985;;ENSG00000101665;;ENSG00000106546;;ENSG00000108443;;ENSG00000110148;;ENSG00000110324;;ENSG00000111144;;ENSG00000115232;;ENSG00000117601;;ENSG00000120899;;ENSG00000124721;;ENSG00000127318;;ENSG00000128604;;ENSG00000132434;;ENSG00000137275;;ENSG00000139610;;ENSG00000139626;;ENSG00000143839;;ENSG00000151623;;ENSG00000160703;;ENSG00000162594;;ENSG00000163464;;ENSG00000168610;;ENSG00000168811;;ENSG00000169194;;ENSG00000169245;;ENSG00000170989;;ENSG00000171522;;ENSG00000172156;;ENSG00000173585;;ENSG00000175354;;ENSG00000180871;;ENSG00000181634;;ENSG00000197561;;ENSG00000232810;;ENSG00000243646;;ENSG00000258839;;ENSG00000267534|43
C0009363|ENSG00000004961;;ENSG00000006042;;ENSG00000007372;;ENSG00000012061;;ENSG00000029993;;ENSG00000043355;;ENSG00000048342;;ENSG00000070814;;ENSG00000075624;;ENSG00000075891;;ENSG00000077092;;ENSG00000081479;;ENSG00000089289;;ENSG00000101115;;ENSG00000101144;;ENSG00000102030;;ENSG00000102103;;ENSG00000102312;;ENSG00000103449;;ENSG00000103494;;ENSG00000108474;;ENSG00000109920;;ENSG00000111678;;ENSG00000115657;;ENSG00000115839;;ENSG00000118873;;ENSG00000119614;;ENSG00000122145;;ENSG00000125378;;ENSG00000125875;;ENSG00000128039;;ENSG00000134438;;ENSG00000134899;;ENSG00000137203;;ENSG00000137693;;ENSG00000137868;;ENSG00000138083;;ENSG00000138207;;ENSG00000138759;;ENSG00000140829;;ENSG00000146350;;ENSG00000148704;;ENSG00000150893;;ENSG00000150938;;ENSG00000151466;;ENSG00000152661;;ENSG00000155974;;ENSG00000156466;;ENSG00000156650;;ENSG00000156973;;ENSG00000160202;;ENSG00000163251;;ENSG00000164007;;ENSG00000164690;;ENSG00000164946;;ENSG00000164953;;ENSG00000165588;;ENSG00000165821;;ENSG00000166479;;ENSG00000166801;;ENSG00000167548;;ENSG00000168040;;ENSG00000169554;;ENSG00000170381;;ENSG00000171316;;ENSG00000171453;;ENSG00000178573;;ENSG00000179774;;ENSG00000181449;;ENSG00000181541;;ENSG00000183337;;ENSG00000183770;;ENSG00000184009;;ENSG00000184254;;ENSG00000184302;;ENSG00000184344;;ENSG00000185920;;ENSG00000186184;;ENSG00000188641;;ENSG00000196431;;ENSG00000198732;;ENSG00000215612;;ENSG00000218336;;ENSG00000235718;;ENSG00000237412;;ENSG00000244752|86
C0009404|ENSG00000078098;;ENSG00000096717;;ENSG00000105388;;ENSG00000119888;;ENSG00000120217;;ENSG00000134853;;ENSG00000134982;;ENSG00000146648;;ENSG00000162551;;ENSG00000165731;;ENSG00000168036;;ENSG00000169710;;ENSG00000185420;;ENSG00000187323;;ENSG00000198900|15
C0009447|ENSG00000077150;;ENSG00000109320;;ENSG00000110651;;ENSG00000117322;;ENSG00000138684;;ENSG00000156738;;ENSG00000159958;;ENSG00000163600;;ENSG00000163932;;ENSG00000177455;;ENSG00000185811;;ENSG00000198589;;ENSG00000240505|13
C0010054|ENSG00000064547;;ENSG00000064999;;ENSG00000070366;;ENSG00000076685;;ENSG00000091732;;ENSG00000107562;;ENSG00000108551;;ENSG00000109917;;ENSG00000110243;;ENSG00000112137;;ENSG00000118526;;ENSG00000132693;;ENSG00000135100;;ENSG00000136378;;ENSG00000136840;;ENSG00000138442;;ENSG00000143126;;ENSG00000148842;;ENSG00000154305;;ENSG00000158186;;ENSG00000159202;;ENSG00000159210;;ENSG00000159640;;ENSG00000162407;;ENSG00000167720;;ENSG00000175164;;ENSG00000178537;;ENSG00000182218;;ENSG00000198743|29
C0010068|ENSG00000064547;;ENSG00000064999;;ENSG00000070366;;ENSG00000076685;;ENSG00000091732;;ENSG00000107562;;ENSG00000108551;;ENSG00000109917;;ENSG00000110243;;ENSG00000112137;;ENSG00000118526;;ENSG00000132693;;ENSG00000135100;;ENSG00000136378;;ENSG00000136840;;ENSG00000138442;;ENSG00000143126;;ENSG00000148842;;ENSG00000154305;;ENSG00000158186;;ENSG00000159202;;ENSG00000159210;;ENSG00000159640;;ENSG00000162407;;ENSG00000167720;;ENSG00000175164;;ENSG00000178537;;ENSG00000182218;;ENSG00000198743|29
C0010278|ENSG00000003137;;ENSG00000052850;;ENSG00000066468;;ENSG00000068078;;ENSG00000077782;;ENSG00000090776;;ENSG00000105429;;ENSG00000105722;;ENSG00000106799;;ENSG00000112210;;ENSG00000120149;;ENSG00000122691;;ENSG00000127948;;ENSG00000137070;;ENSG00000137834;;ENSG00000138814;;ENSG00000140262;;ENSG00000150961;;ENSG00000152977;;ENSG00000153283;;ENSG00000157933;;ENSG00000160957;;ENSG00000163513;;ENSG00000164946;;ENSG00000171456;;ENSG00000185624|26
C0010308|ENSG00000009765;;ENSG00000042832;;ENSG00000091137;;ENSG00000101849;;ENSG00000105641;;ENSG00000107249;;ENSG00000115705;;ENSG00000125618;;ENSG00000126351;;ENSG00000133124;;ENSG00000134200;;ENSG00000136352;;ENSG00000140274;;ENSG00000140279;;ENSG00000147255;;ENSG00000165409;;ENSG00000167548;;ENSG00000174417;;ENSG00000178919;;ENSG00000183072|20
C0010474|ENSG00000065534;;ENSG00000110148;;ENSG00000126233;;ENSG00000130193;;ENSG00000160886;;ENSG00000167653;;ENSG00000180155;;ENSG00000197353;;ENSG00000198576;;ENSG00000234616;;ENSG00000283992|11
C0010495|ENSG00000049540;;ENSG00000059573;;ENSG00000071553;;ENSG00000090006;;ENSG00000114573;;ENSG00000131100;;ENSG00000140092;;ENSG00000162551;;ENSG00000165240;;ENSG00000172638;;ENSG00000182220;;ENSG00000183010;;ENSG00000185344;;ENSG00000197594|14
C0010674|ENSG00000001626;;ENSG00000004948;;ENSG00000100311;;ENSG00000132906;;ENSG00000139610;;ENSG00000147955;;ENSG00000160181;;ENSG00000164733;;ENSG00000165806;;ENSG00000169083;;ENSG00000175535;;ENSG00000175591;;ENSG00000180871;;ENSG00000197249;;ENSG00000197561;;ENSG00000198947;;ENSG00000213903;;ENSG00000232810;;ENSG00000243480|19
C0011311|ENSG00000004468;;ENSG00000007908;;ENSG00000010610;;ENSG00000019991;;ENSG00000026508;;ENSG00000080618;;ENSG00000090339;;ENSG00000091879;;ENSG00000102245;;ENSG00000102970;;ENSG00000104368;;ENSG00000104432;;ENSG00000105383;;ENSG00000106366;;ENSG00000107562;;ENSG00000108691;;ENSG00000110799;;ENSG00000110848;;ENSG00000111537;;ENSG00000112115;;ENSG00000113520;;ENSG00000121594;;ENSG00000121966;;ENSG00000125538;;ENSG00000127318;;ENSG00000130303;;ENSG00000133703;;ENSG00000134460;;ENSG00000135318;;ENSG00000136244;;ENSG00000136634;;ENSG00000136869;;ENSG00000137462;;ENSG00000138755;;ENSG00000150782;;ENSG00000154188;;ENSG00000160683;;ENSG00000162692;;ENSG00000163599;;ENSG00000163735;;ENSG00000166710;;ENSG00000169194;;ENSG00000169245;;ENSG00000169248;;ENSG00000169429;;ENSG00000171560;;ENSG00000177455;;ENSG00000178726;;ENSG00000179776;;ENSG00000185291;;ENSG00000188404;;ENSG00000189403;;ENSG00000232810;;ENSG00000239732;;ENSG00000240972;;ENSG00000259207;;ENSG00000271503|57
C0011573|ENSG00000002822;;ENSG00000005108;;ENSG00000028116;;ENSG00000077498;;ENSG00000078328;;ENSG00000081189;;ENSG00000096654;;ENSG00000100393;;ENSG00000100395;;ENSG00000100399;;ENSG00000100401;;ENSG00000102837;;ENSG00000106460;;ENSG00000115392;;ENSG00000119596;;ENSG00000119616;;ENSG00000119681;;ENSG00000119682;;ENSG00000122687;;ENSG00000124613;;ENSG00000124657;;ENSG00000140749;;ENSG00000142599;;ENSG00000146530;;ENSG00000149295;;ENSG00000155719;;ENSG00000156395;;ENSG00000162426;;ENSG00000165379;;ENSG00000166682;;ENSG00000168131;;ENSG00000168779;;ENSG00000168959;;ENSG00000170209;;ENSG00000172260;;ENSG00000174891;;ENSG00000184226;;ENSG00000184357;;ENSG00000185130;;ENSG00000187323;;ENSG00000196628;;ENSG00000196747;;ENSG00000197006;;ENSG00000197153;;ENSG00000197238;;ENSG00000213047;;ENSG00000233822;;ENSG00000273542;;ENSG00000273703;;ENSG00000274641;;ENSG00000275126;;ENSG00000275379;;ENSG00000276368;;ENSG00000276903;;ENSG00000278677;;ENSG00000278828|56
C0011615|ENSG00000007908;;ENSG00000010671;;ENSG00000011422;;ENSG00000012779;;ENSG00000065989;;ENSG00000075073;;ENSG00000077238;;ENSG00000100448;;ENSG00000106546;;ENSG00000110680;;ENSG00000113448;;ENSG00000113520;;ENSG00000113580;;ENSG00000115008;;ENSG00000115353;;ENSG00000120899;;ENSG00000125510;;ENSG00000131408;;ENSG00000131471;;ENSG00000134489;;ENSG00000137033;;ENSG00000138814;;ENSG00000143631;;ENSG00000145777;;ENSG00000158477;;ENSG00000160868;;ENSG00000165025;;ENSG00000166603;;ENSG00000167751;;ENSG00000168229;;ENSG00000168685;;ENSG00000169194;;ENSG00000180210;;ENSG00000184588;;ENSG00000186827;;ENSG00000188822;;ENSG00000196689;;ENSG00000197405;;ENSG00000197561;;ENSG00000198001;;ENSG00000198286;;ENSG00000204671;;ENSG00000204983;;ENSG00000232810;;ENSG00000258839|45
C0011849|ENSG00000000971;;ENSG00000004468;;ENSG00000005844;;ENSG00000006071;;ENSG00000010671;;ENSG00000012124;;ENSG00000013725;;ENSG00000038532;;ENSG00000048052;;ENSG00000049768;;ENSG00000050820;;ENSG00000053524;;ENSG00000053918;;ENSG00000054356;;ENSG00000064012;;ENSG00000067182;;ENSG00000072694;;ENSG00000079435;;ENSG00000080824;;ENSG00000081051;;ENSG00000082701;;ENSG00000089041;;ENSG00000089692;;ENSG00000091831;;ENSG00000100170;;ENSG00000101017;;ENSG00000101076;;ENSG00000101916;;ENSG00000102245;;ENSG00000102580;;ENSG00000104093;;ENSG00000104812;;ENSG00000104918;;ENSG00000105204;;ENSG00000105221;;ENSG00000105723;;ENSG00000105974;;ENSG00000106331;;ENSG00000106633;;ENSG00000107249;;ENSG00000108784;;ENSG00000109424;;ENSG00000109501;;ENSG00000110148;;ENSG00000111142;;ENSG00000111252;;ENSG00000112033;;ENSG00000112164;;ENSG00000115232;;ENSG00000115263;;ENSG00000115267;;ENSG00000115541;;ENSG00000115827;;ENSG00000116127;;ENSG00000117479;;ENSG00000118495;;ENSG00000119535;;ENSG00000120949;;ENSG00000121594;;ENSG00000121653;;ENSG00000121966;;ENSG00000125726;;ENSG00000128951;;ENSG00000130173;;ENSG00000132170;;ENSG00000134049;;ENSG00000134242;;ENSG00000134460;;ENSG00000135100;;ENSG00000136111;;ENSG00000136573;;ENSG00000136634;;ENSG00000136750;;ENSG00000136869;;ENSG00000137392;;ENSG00000137462;;ENSG00000138684;;ENSG00000139515;;ENSG00000140675;;ENSG00000142330;;ENSG00000142615;;ENSG00000144381;;ENSG00000145331;;ENSG00000145354;;ENSG00000145817;;ENSG00000145996;;ENSG00000148737;;ENSG00000154305;;ENSG00000154415;;ENSG00000155093;;ENSG00000157017;;ENSG00000157500;;ENSG00000158615;;ENSG00000160712;;ENSG00000160791;;ENSG00000162594;;ENSG00000162992;;ENSG00000163131;;ENSG00000163485;;ENSG00000163599;;ENSG00000163823;;ENSG00000164342;;ENSG00000164400;;ENSG00000164756;;ENSG00000165025;;ENSG00000165458;;ENSG00000166224;;ENSG00000167207;;ENSG00000167723;;ENSG00000168000;;ENSG00000168229;;ENSG00000168267;;ENSG00000168398;;ENSG00000168610;;ENSG00000168685;;ENSG00000169047;;ENSG00000169245;;ENSG00000169429;;ENSG00000169692;;ENSG00000170835;;ENSG00000170989;;ENSG00000171105;;ENSG00000171431;;ENSG00000171759;;ENSG00000171855;;ENSG00000172059;;ENSG00000172071;;ENSG00000174326;;ENSG00000174327;;ENSG00000174697;;ENSG00000175564;;ENSG00000177455;;ENSG00000177469;;ENSG00000177688;;ENSG00000178562;;ENSG00000181092;;ENSG00000181856;;ENSG00000182578;;ENSG00000182759;;ENSG00000183813;;ENSG00000185002;;ENSG00000186431;;ENSG00000186951;;ENSG00000187486;;ENSG00000188778;;ENSG00000196664;;ENSG00000197594;;ENSG00000197766;;ENSG00000198805;;ENSG00000198888;;ENSG00000204644;;ENSG00000215644;;ENSG00000232810;;ENSG00000239732;;ENSG00000240972;;ENSG00000254647;;ENSG00000257017;;ENSG00000271503;;ENSG00000275410;;ENSG00000282076|160
C0011854|ENSG00000019991;;ENSG00000049768;;ENSG00000089127;;ENSG00000096433;;ENSG00000134242;;ENSG00000134460;;ENSG00000135100;;ENSG00000136244;;ENSG00000160791;;ENSG00000163599;;ENSG00000177688;;ENSG00000179344;;ENSG00000196126;;ENSG00000196735;;ENSG00000254647|15
C0011860|ENSG00000004948;;ENSG00000006071;;ENSG00000010310;;ENSG00000019991;;ENSG00000059377;;ENSG00000065989;;ENSG00000068976;;ENSG00000069431;;ENSG00000069667;;ENSG00000073756;;ENSG00000076555;;ENSG00000077782;;ENSG00000093010;;ENSG00000096717;;ENSG00000099194;;ENSG00000100170;;ENSG00000100191;;ENSG00000101076;;ENSG00000102468;;ENSG00000105221;;ENSG00000105550;;ENSG00000105851;;ENSG00000106633;;ENSG00000107643;;ENSG00000111142;;ENSG00000111725;;ENSG00000112033;;ENSG00000112164;;ENSG00000113580;;ENSG00000115008;;ENSG00000115263;;ENSG00000116478;;ENSG00000117594;;ENSG00000118432;;ENSG00000118523;;ENSG00000121351;;ENSG00000121853;;ENSG00000121989;;ENSG00000124089;;ENSG00000125255;;ENSG00000125538;;ENSG00000126266;;ENSG00000130203;;ENSG00000130234;;ENSG00000132170;;ENSG00000132356;;ENSG00000132703;;ENSG00000134962;;ENSG00000135100;;ENSG00000136244;;ENSG00000137752;;ENSG00000138823;;ENSG00000139572;;ENSG00000140675;;ENSG00000142494;;ENSG00000142798;;ENSG00000143839;;ENSG00000147262;;ENSG00000150782;;ENSG00000151623;;ENSG00000154415;;ENSG00000159224;;ENSG00000160307;;ENSG00000162409;;ENSG00000162992;;ENSG00000166603;;ENSG00000168685;;ENSG00000169047;;ENSG00000170425;;ENSG00000170835;;ENSG00000171105;;ENSG00000171855;;ENSG00000172016;;ENSG00000176387;;ENSG00000177669;;ENSG00000177807;;ENSG00000179921;;ENSG00000180210;;ENSG00000181856;;ENSG00000182782;;ENSG00000185000;;ENSG00000186951;;ENSG00000187486;;ENSG00000188778;;ENSG00000215644;;ENSG00000254647;;ENSG00000257335;;ENSG00000260314;;ENSG00000275410|89
C0013295|ENSG00000065534;;ENSG00000110148;;ENSG00000126233;;ENSG00000130193;;ENSG00000160886;;ENSG00000167653;;ENSG00000180155;;ENSG00000197353;;ENSG00000198576;;ENSG00000234616;;ENSG00000283992|11
C0013421|ENSG00000005379;;ENSG00000055332;;ENSG00000075624;;ENSG00000080709;;ENSG00000100379;;ENSG00000104635;;ENSG00000104833;;ENSG00000105409;;ENSG00000116096;;ENSG00000116353;;ENSG00000116874;;ENSG00000117394;;ENSG00000121905;;ENSG00000126953;;ENSG00000127838;;ENSG00000127990;;ENSG00000131931;;ENSG00000131979;;ENSG00000134343;;ENSG00000136827;;ENSG00000138750;;ENSG00000141404;;ENSG00000142319;;ENSG00000144736;;ENSG00000147133;;ENSG00000148120;;ENSG00000148337;;ENSG00000153234;;ENSG00000154518;;ENSG00000160695;;ENSG00000163359;;ENSG00000165646;;ENSG00000167371;;ENSG00000168539;;ENSG00000169676;;ENSG00000178394;;ENSG00000179292;;ENSG00000180176;;ENSG00000180228;;ENSG00000180613;;ENSG00000182255;;ENSG00000184381;;ENSG00000185825;;ENSG00000188778;;ENSG00000196660;;ENSG00000197296;;ENSG00000198695;;ENSG00000198886;;ENSG00000215305;;ENSG00000272333|50
C0013720|ENSG00000027847;;ENSG00000083444;;ENSG00000087116;;ENSG00000106080;;ENSG00000106624;;ENSG00000108821;;ENSG00000111799;;ENSG00000111817;;ENSG00000130635;;ENSG00000138738;;ENSG00000159403;;ENSG00000164692;;ENSG00000165915;;ENSG00000168477;;ENSG00000168542;;ENSG00000169105;;ENSG00000176022;;ENSG00000182326;;ENSG00000204262;;ENSG00000225614|20
C0014175|ENSG00000070831;;ENSG00000073756;;ENSG00000082175;;ENSG00000091831;;ENSG00000101846;;ENSG00000109163;;ENSG00000109991;;ENSG00000125384;;ENSG00000131808;;ENSG00000136634;;ENSG00000137869;;ENSG00000159110;;ENSG00000162552;;ENSG00000188822;;ENSG00000196208|15
C0014527|ENSG00000005884;;ENSG00000053747;;ENSG00000058085;;ENSG00000065618;;ENSG00000091409;;ENSG00000096696;;ENSG00000110723;;ENSG00000114270;;ENSG00000114796;;ENSG00000132470;;ENSG00000151914;;ENSG00000177697;;ENSG00000178209;;ENSG00000186081;;ENSG00000186847;;ENSG00000196878|16
C0014544|ENSG00000004766;;ENSG00000004848;;ENSG00000007402;;ENSG00000007541;;ENSG00000008056;;ENSG00000008086;;ENSG00000008277;;ENSG00000008853;;ENSG00000011677;;ENSG00000018625;;ENSG00000020129;;ENSG00000022355;;ENSG00000031698;;ENSG00000033627;;ENSG00000036257;;ENSG00000036828;;ENSG00000039650;;ENSG00000048740;;ENSG00000055163;;ENSG00000066629;;ENSG00000066777;;ENSG00000067836;;ENSG00000068024;;ENSG00000069248;;ENSG00000069482;;ENSG00000069667;;ENSG00000069943;;ENSG00000072501;;ENSG00000073969;;ENSG00000075043;;ENSG00000076201;;ENSG00000077080;;ENSG00000077279;;ENSG00000081189;;ENSG00000081307;;ENSG00000082996;;ENSG00000083067;;ENSG00000084774;;ENSG00000087111;;ENSG00000087258;;ENSG00000089818;;ENSG00000090861;;ENSG00000090905;;ENSG00000092094;;ENSG00000092847;;ENSG00000096093;;ENSG00000099308;;ENSG00000099365;;ENSG00000099381;;ENSG00000099822;;ENSG00000100150;;ENSG00000100564;;ENSG00000101204;;ENSG00000101210;;ENSG00000101464;;ENSG00000101901;;ENSG00000102100;;ENSG00000102359;;ENSG00000102805;;ENSG00000103061;;ENSG00000103148;;ENSG00000103197;;ENSG00000103507;;ENSG00000103723;;ENSG00000104093;;ENSG00000104763;;ENSG00000105197;;ENSG00000105325;;ENSG00000105409;;ENSG00000105464;;ENSG00000105711;;ENSG00000106009;;ENSG00000106976;;ENSG00000107147;;ENSG00000107331;;ENSG00000108231;;ENSG00000108433;;ENSG00000108439;;ENSG00000109572;;ENSG00000109618;;ENSG00000109756;;ENSG00000109775;;ENSG00000109814;;ENSG00000110436;;ENSG00000110721;;ENSG00000110841;;ENSG00000111249;;ENSG00000111581;;ENSG00000111676;;ENSG00000112137;;ENSG00000112290;;ENSG00000112425;;ENSG00000113327;;ENSG00000113555;;ENSG00000114279;;ENSG00000114388;;ENSG00000114573;;ENSG00000114859;;ENSG00000115317;;ENSG00000115355;;ENSG00000115419;;ENSG00000115525;;ENSG00000115902;;ENSG00000116254;;ENSG00000116641;;ENSG00000116903;;ENSG00000117394;;ENSG00000117620;;ENSG00000117682;;ENSG00000119203;;ENSG00000119669;;ENSG00000120251;;ENSG00000120903;;ENSG00000121481;;ENSG00000124140;;ENSG00000124155;;ENSG00000125166;;ENSG00000125814;;ENSG00000125877;;ENSG00000126091;;ENSG00000126653;;ENSG00000127955;;ENSG00000128683;;ENSG00000129159;;ENSG00000129682;;ENSG00000130640;;ENSG00000130741;;ENSG00000131089;;ENSG00000131504;;ENSG00000134049;;ENSG00000134440;;ENSG00000135365;;ENSG00000136371;;ENSG00000136531;;ENSG00000136854;;ENSG00000136868;;ENSG00000136928;;ENSG00000137161;;ENSG00000138363;;ENSG00000138622;;ENSG00000138760;;ENSG00000138814;;ENSG00000139174;;ENSG00000139531;;ENSG00000139718;;ENSG00000140521;;ENSG00000141252;;ENSG00000141485;;ENSG00000141580;;ENSG00000141837;;ENSG00000142178;;ENSG00000142892;;ENSG00000143473;;ENSG00000143756;;ENSG00000144034;;ENSG00000144285;;ENSG00000144320;;ENSG00000145375;;ENSG00000145495;;ENSG00000145817;;ENSG00000145864;;ENSG00000146701;;ENSG00000147471;;ENSG00000148053;;ENSG00000148408;;ENSG00000148842;;ENSG00000149269;;ENSG00000151067;;ENSG00000151348;;ENSG00000151665;;ENSG00000151806;;ENSG00000151834;;ENSG00000152784;;ENSG00000153187;;ENSG00000153253;;ENSG00000153956;;ENSG00000155100;;ENSG00000155111;;ENSG00000155980;;ENSG00000156113;;ENSG00000156299;;ENSG00000156531;;ENSG00000157103;;ENSG00000157388;;ENSG00000158445;;ENSG00000159082;;ENSG00000160193;;ENSG00000160213;;ENSG00000160218;;ENSG00000160716;;ENSG00000160877;;ENSG00000161203;;ENSG00000161920;;ENSG00000162065;;ENSG00000162129;;ENSG00000162396;;ENSG00000162426;;ENSG00000162687;;ENSG00000163288;;ENSG00000163399;;ENSG00000163637;;ENSG00000163872;;ENSG00000163877;;ENSG00000164418;;ENSG00000164588;;ENSG00000164830;;ENSG00000164904;;ENSG00000165078;;ENSG00000165194;;ENSG00000165195;;ENSG00000165699;;ENSG00000166006;;ENSG00000166206;;ENSG00000166340;;ENSG00000167371;;ENSG00000167515;;ENSG00000167625;;ENSG00000167680;;ENSG00000167861;;ENSG00000168993;;ENSG00000169432;;ENSG00000169554;;ENSG00000169764;;ENSG00000170027;;ENSG00000170270;;ENSG00000171532;;ENSG00000171763;;ENSG00000172053;;ENSG00000172315;;ENSG00000172339;;ENSG00000172915;;ENSG00000173409;;ENSG00000173575;;ENSG00000174004;;ENSG00000174437;;ENSG00000174469;;ENSG00000176619;;ENSG00000176884;;ENSG00000177030;;ENSG00000177082;;ENSG00000177301;;ENSG00000177542;;ENSG00000177570;;ENSG00000177807;;ENSG00000178149;;ENSG00000178467;;ENSG00000179364;;ENSG00000182220;;ENSG00000182372;;ENSG00000182389;;ENSG00000182400;;ENSG00000182450;;ENSG00000182473;;ENSG00000182606;;ENSG00000182621;;ENSG00000183454;;ENSG00000184014;;ENSG00000184144;;ENSG00000184156;;ENSG00000184408;;ENSG00000185808;;ENSG00000186153;;ENSG00000186297;;ENSG00000186501;;ENSG00000187555;;ENSG00000187566;;ENSG00000187730;;ENSG00000188338;;ENSG00000189056;;ENSG00000196277;;ENSG00000196449;;ENSG00000196557;;ENSG00000196628;;ENSG00000196876;;ENSG00000196976;;ENSG00000197563;;ENSG00000197601;;ENSG00000197694;;ENSG00000197969;;ENSG00000198198;;ENSG00000198216;;ENSG00000198689;;ENSG00000198719;;ENSG00000198793;;ENSG00000198888;;ENSG00000198951;;ENSG00000198963;;ENSG00000204394;;ENSG00000204435;;ENSG00000223802;;ENSG00000239900;;ENSG00000243335;;ENSG00000260230;;ENSG00000273079;;ENSG00000273611;;ENSG00000274286;;ENSG00000288130|297
C0014859|ENSG00000066405;;ENSG00000107984;;ENSG00000109163;;ENSG00000119888;;ENSG00000141510;;ENSG00000146648;;ENSG00000184033;;ENSG00000185499;;ENSG00000198900;;ENSG00000232810|10
C0014868|ENSG00000006606;;ENSG00000075673;;ENSG00000077782;;ENSG00000095596;;ENSG00000096060;;ENSG00000105675;;ENSG00000106178;;ENSG00000113525;;ENSG00000113580;;ENSG00000123496;;ENSG00000137869;;ENSG00000169083;;ENSG00000169194;;ENSG00000169385;;ENSG00000172156;;ENSG00000173153|16
C0015558|ENSG00000102854;;ENSG00000106991;;ENSG00000112715;;ENSG00000113302;;ENSG00000113494;;ENSG00000128917;;ENSG00000141510;;ENSG00000143799;;ENSG00000181143;;ENSG00000197122|10
C0015625|ENSG00000012048;;ENSG00000051180;;ENSG00000077152;;ENSG00000083093;;ENSG00000108384;;ENSG00000112039;;ENSG00000115392;;ENSG00000116670;;ENSG00000136492;;ENSG00000139618;;ENSG00000140525;;ENSG00000144554;;ENSG00000158169;;ENSG00000168411;;ENSG00000175595;;ENSG00000181544;;ENSG00000183161;;ENSG00000187741;;ENSG00000187790;;ENSG00000188827;;ENSG00000196584;;ENSG00000221829|22
C0017601|ENSG00000034971;;ENSG00000043591;;ENSG00000050628;;ENSG00000067900;;ENSG00000085662;;ENSG00000092200;;ENSG00000102468;;ENSG00000105976;;ENSG00000110680;;ENSG00000117594;;ENSG00000119681;;ENSG00000120156;;ENSG00000120903;;ENSG00000120907;;ENSG00000122420;;ENSG00000122756;;ENSG00000123240;;ENSG00000125384;;ENSG00000128271;;ENSG00000128274;;ENSG00000129038;;ENSG00000130203;;ENSG00000132170;;ENSG00000133019;;ENSG00000134318;;ENSG00000134987;;ENSG00000138061;;ENSG00000143183;;ENSG00000143839;;ENSG00000146926;;ENSG00000150594;;ENSG00000163485;;ENSG00000164362;;ENSG00000168539;;ENSG00000171522;;ENSG00000171873;;ENSG00000180720;;ENSG00000181072;;ENSG00000182871;;ENSG00000183735;;ENSG00000184160;;ENSG00000184984;;ENSG00000188778;;ENSG00000198746;;ENSG00000225950;;ENSG00000282608|46
C0017612|ENSG00000007237;;ENSG00000054598;;ENSG00000093010;;ENSG00000099810;;ENSG00000099889;;ENSG00000105971;;ENSG00000105974;;ENSG00000109047;;ENSG00000112685;;ENSG00000112699;;ENSG00000126778;;ENSG00000136944;;ENSG00000137265;;ENSG00000143149;;ENSG00000143179;;ENSG00000143183;;ENSG00000147883;;ENSG00000147889;;ENSG00000154188;;ENSG00000163995;;ENSG00000165029;;ENSG00000169155;;ENSG00000176399;;ENSG00000179008;;ENSG00000184470;;ENSG00000185838;;ENSG00000188996;;ENSG00000196526;;ENSG00000215012|29
C0017636|ENSG00000049656;;ENSG00000101216;;ENSG00000101246;;ENSG00000125520;;ENSG00000130584;;ENSG00000146648;;ENSG00000147883;;ENSG00000147889;;ENSG00000164362;;ENSG00000164363;;ENSG00000174358;;ENSG00000176399;;ENSG00000197114;;ENSG00000197457;;ENSG00000203896;;ENSG00000243509;;ENSG00000258366|17
C0017661|ENSG00000164816;;ENSG00000164821;;ENSG00000164822;;ENSG00000164825;;ENSG00000196735;;ENSG00000198502;;ENSG00000206047;;ENSG00000232629;;ENSG00000237541;;ENSG00000239839;;ENSG00000240247|11
C0017665|ENSG00000054219;;ENSG00000115221;;ENSG00000137310;;ENSG00000153246;;ENSG00000166278;;ENSG00000168477;;ENSG00000196126;;ENSG00000196735;;ENSG00000204287;;ENSG00000204290;;ENSG00000204296;;ENSG00000204301;;ENSG00000204304;;ENSG00000204305;;ENSG00000204308;;ENSG00000204310;;ENSG00000204314;;ENSG00000204315;;ENSG00000204344;;ENSG00000204348;;ENSG00000204356;;ENSG00000204366;;ENSG00000204371;;ENSG00000204385;;ENSG00000204420;;ENSG00000204421;;ENSG00000204424;;ENSG00000204427;;ENSG00000204428;;ENSG00000204435;;ENSG00000204438;;ENSG00000204439;;ENSG00000204444;;ENSG00000204463;;ENSG00000204469;;ENSG00000204472;;ENSG00000204475;;ENSG00000204482;;ENSG00000204531;;ENSG00000204536;;ENSG00000204538;;ENSG00000204540;;ENSG00000204542;;ENSG00000206312;;ENSG00000213654;;ENSG00000213676;;ENSG00000213719;;ENSG00000213722;;ENSG00000221988;;ENSG00000223355;;ENSG00000226979;;ENSG00000227507;;ENSG00000232339;;ENSG00000232810;;ENSG00000234876;;ENSG00000235396;;ENSG00000238196;;ENSG00000240053;;ENSG00000241404;;ENSG00000243649;;ENSG00000244355;;ENSG00000244731;;ENSG00000261272|63
