Disease|Genes|Count
C0003872|ENSG00000056972;;ENSG00000081059;;ENSG00000105397;;ENSG00000107984;;ENSG00000110876;;ENSG00000111679;;ENSG00000112115;;ENSG00000112116;;ENSG00000113302;;ENSG00000115009;;ENSG00000134318;;ENSG00000136244;;ENSG00000139610;;ENSG00000141527;;ENSG00000162594;;ENSG00000162889;;ENSG00000168610;;ENSG00000169194;;ENSG00000177272;;ENSG00000184371;;ENSG00000185187;;ENSG00000196126;;ENSG00000196296;;ENSG00000197561;;ENSG00000204525;;ENSG00000213024;;ENSG00000228716;;ENSG00000232810;;ENSG00000234745|29
C0003873|ENSG00000007171;;ENSG00000010610;;ENSG00000010671;;ENSG00000012779;;ENSG00000026103;;ENSG00000048052;;ENSG00000056558;;ENSG00000057657;;ENSG00000058404;;ENSG00000065675;;ENSG00000065989;;ENSG00000067182;;ENSG00000072694;;ENSG00000073756;;ENSG00000076351;;ENSG00000077498;;ENSG00000081237;;ENSG00000085662;;ENSG00000089022;;ENSG00000089041;;ENSG00000091513;;ENSG00000096717;;ENSG00000099985;;ENSG00000100030;;ENSG00000100300;;ENSG00000100385;;ENSG00000100739;;ENSG00000100985;;ENSG00000101017;;ENSG00000101916;;ENSG00000102245;;ENSG00000102524;;ENSG00000102967;;ENSG00000104870;;ENSG00000105329;;ENSG00000105397;;ENSG00000105851;;ENSG00000106366;;ENSG00000106804;;ENSG00000107485;;ENSG00000108691;;ENSG00000109471;;ENSG00000110448;;ENSG00000110680;;ENSG00000111321;;ENSG00000111537;;ENSG00000112115;;ENSG00000112486;;ENSG00000112715;;ENSG00000113161;;ENSG00000113302;;ENSG00000113448;;ENSG00000113580;;ENSG00000115008;;ENSG00000115590;;ENSG00000115594;;ENSG00000115977;;ENSG00000116329;;ENSG00000116815;;ENSG00000116824;;ENSG00000118113;;ENSG00000118503;;ENSG00000118777;;ENSG00000120156;;ENSG00000120899;;ENSG00000121594;;ENSG00000121807;;ENSG00000121879;;ENSG00000124491;;ENSG00000125538;;ENSG00000128604;;ENSG00000132434;;ENSG00000134222;;ENSG00000134242;;ENSG00000134318;;ENSG00000134339;;ENSG00000134352;;ENSG00000134460;;ENSG00000134489;;ENSG00000134545;;ENSG00000135047;;ENSG00000136244;;ENSG00000136573;;ENSG00000136634;;ENSG00000137077;;ENSG00000137275;;ENSG00000137745;;ENSG00000137752;;ENSG00000138378;;ENSG00000138684;;ENSG00000139610;;ENSG00000140332;;ENSG00000140937;;ENSG00000140968;;ENSG00000143226;;ENSG00000143365;;ENSG00000143384;;ENSG00000143387;;ENSG00000143727;;ENSG00000144218;;ENSG00000147155;;ENSG00000149968;;ENSG00000150347;;ENSG00000150782;;ENSG00000151694;;ENSG00000155980;;ENSG00000157873;;ENSG00000159200;;ENSG00000159216;;ENSG00000159339;;ENSG00000159958;;ENSG00000160211;;ENSG00000160712;;ENSG00000160791;;ENSG00000161405;;ENSG00000161955;;ENSG00000162889;;ENSG00000162924;;ENSG00000163131;;ENSG00000163599;;ENSG00000163631;;ENSG00000163823;;ENSG00000164136;;ENSG00000164400;;ENSG00000164691;;ENSG00000164733;;ENSG00000165025;;ENSG00000166224;;ENSG00000166501;;ENSG00000166908;;ENSG00000168214;;ENSG00000168229;;ENSG00000168297;;ENSG00000168398;;ENSG00000168811;;ENSG00000170890;;ENSG00000170989;;ENSG00000171431;;ENSG00000171564;;ENSG00000171608;;ENSG00000171855;;ENSG00000172575;;ENSG00000173153;;ENSG00000173432;;ENSG00000173638;;ENSG00000175104;;ENSG00000177000;;ENSG00000177455;;ENSG00000177606;;ENSG00000178562;;ENSG00000178950;;ENSG00000182578;;ENSG00000184216;;ENSG00000184588;;ENSG00000185668;;ENSG00000186318;;ENSG00000186335;;ENSG00000186951;;ENSG00000188130;;ENSG00000188822;;ENSG00000196126;;ENSG00000196296;;ENSG00000196689;;ENSG00000197405;;ENSG00000197561;;ENSG00000198001;;ENSG00000198223;;ENSG00000198369;;ENSG00000198431;;ENSG00000198805;;ENSG00000204498;;ENSG00000211891;;ENSG00000213809;;ENSG00000213903;;ENSG00000213949;;ENSG00000223865;;ENSG00000226979;;ENSG00000228716;;ENSG00000232810;;ENSG00000234745;;ENSG00000268104;;ENSG00000282608|182
C0004096|ENSG00000041982;;ENSG00000078401;;ENSG00000100985;;ENSG00000102970;;ENSG00000113520;;ENSG00000113525;;ENSG00000132693;;ENSG00000133048;;ENSG00000169194;;ENSG00000169429|10
C0004238|ENSG00000011523;;ENSG00000031003;;ENSG00000054654;;ENSG00000061492;;ENSG00000067141;;ENSG00000079150;;ENSG00000080709;;ENSG00000088726;;ENSG00000105971;;ENSG00000105974;;ENSG00000107954;;ENSG00000107957;;ENSG00000111860;;ENSG00000112981;;ENSG00000112983;;ENSG00000115902;;ENSG00000116095;;ENSG00000116132;;ENSG00000117501;;ENSG00000120370;;ENSG00000122180;;ENSG00000138069;;ENSG00000138622;;ENSG00000138792;;ENSG00000140009;;ENSG00000140836;;ENSG00000143603;;ENSG00000143847;;ENSG00000144711;;ENSG00000144712;;ENSG00000144713;;ENSG00000148120;;ENSG00000151320;;ENSG00000151322;;ENSG00000155657;;ENSG00000159348;;ENSG00000160710;;ENSG00000163344;;ENSG00000163346;;ENSG00000163444;;ENSG00000163485;;ENSG00000163492;;ENSG00000164093;;ENSG00000166317;;ENSG00000166348;;ENSG00000166833;;ENSG00000172650;;ENSG00000176986;;ENSG00000177791;;ENSG00000183324;;ENSG00000185933;;ENSG00000204311|52
C0005684|ENSG00000005339;;ENSG00000055609;;ENSG00000068078;;ENSG00000083857;;ENSG00000100393;;ENSG00000101972;;ENSG00000105173;;ENSG00000117713;;ENSG00000118058;;ENSG00000121879;;ENSG00000124762;;ENSG00000132155;;ENSG00000135679;;ENSG00000136238;;ENSG00000139687;;ENSG00000141510;;ENSG00000141736;;ENSG00000143878;;ENSG00000147050;;ENSG00000147889;;ENSG00000149311;;ENSG00000163435;;ENSG00000167548;;ENSG00000171862;;ENSG00000174775;;ENSG00000197694;;ENSG00000272333;;ENSG00000276536;;ENSG00000284792|29
C0005695|ENSG00000005339;;ENSG00000055609;;ENSG00000068078;;ENSG00000083857;;ENSG00000100393;;ENSG00000101972;;ENSG00000105173;;ENSG00000117713;;ENSG00000118058;;ENSG00000121879;;ENSG00000124762;;ENSG00000132155;;ENSG00000135679;;ENSG00000136238;;ENSG00000139687;;ENSG00000141510;;ENSG00000141736;;ENSG00000143878;;ENSG00000147050;;ENSG00000147889;;ENSG00000149311;;ENSG00000163435;;ENSG00000167548;;ENSG00000171862;;ENSG00000174775;;ENSG00000197694;;ENSG00000272333;;ENSG00000276536;;ENSG00000284792|29
C0005940|ENSG00000005102;;ENSG00000091831;;ENSG00000101654;;ENSG00000106125;;ENSG00000106128;;ENSG00000108861;;ENSG00000110075;;ENSG00000118518;;ENSG00000120262;;ENSG00000127415;;ENSG00000127418;;ENSG00000145214;;ENSG00000145217;;ENSG00000146374;;ENSG00000161647;;ENSG00000165471;;ENSG00000166575;;ENSG00000167941;;ENSG00000168675;;ENSG00000177150;;ENSG00000178222;;ENSG00000231256;;ENSG00000240583|23
C0006118|ENSG00000007062;;ENSG00000008405;;ENSG00000019991;;ENSG00000026103;;ENSG00000041982;;ENSG00000044524;;ENSG00000067182;;ENSG00000082898;;ENSG00000087245;;ENSG00000089685;;ENSG00000089692;;ENSG00000091831;;ENSG00000100385;;ENSG00000100462;;ENSG00000100823;;ENSG00000100985;;ENSG00000101017;;ENSG00000103855;;ENSG00000105329;;ENSG00000105388;;ENSG00000105810;;ENSG00000105851;;ENSG00000105976;;ENSG00000106462;;ENSG00000106546;;ENSG00000106799;;ENSG00000106991;;ENSG00000109471;;ENSG00000113302;;ENSG00000113575;;ENSG00000113851;;ENSG00000119383;;ENSG00000120217;;ENSG00000120899;;ENSG00000121671;;ENSG00000121858;;ENSG00000123374;;ENSG00000123496;;ENSG00000126432;;ENSG00000128052;;ENSG00000128274;;ENSG00000128602;;ENSG00000130816;;ENSG00000131203;;ENSG00000131747;;ENSG00000131759;;ENSG00000134853;;ENSG00000135047;;ENSG00000135446;;ENSG00000138413;;ENSG00000139193;;ENSG00000141510;;ENSG00000141542;;ENSG00000141736;;ENSG00000142192;;ENSG00000142208;;ENSG00000142627;;ENSG00000146648;;ENSG00000149311;;ENSG00000150093;;ENSG00000153208;;ENSG00000157404;;ENSG00000163131;;ENSG00000164305;;ENSG00000164342;;ENSG00000164362;;ENSG00000164733;;ENSG00000166402;;ENSG00000166501;;ENSG00000167900;;ENSG00000168398;;ENSG00000168610;;ENSG00000169710;;ENSG00000171855;;ENSG00000173273;;ENSG00000178562;;ENSG00000182054;;ENSG00000183044;;ENSG00000185499;;ENSG00000196230;;ENSG00000196352;;ENSG00000196411;;ENSG00000196557;;ENSG00000196562;;ENSG00000197122;;ENSG00000198223;;ENSG00000198900;;ENSG00000198910;;ENSG00000239732|89
C0006142|ENSG00000012048;;ENSG00000028137;;ENSG00000039068;;ENSG00000082175;;ENSG00000083093;;ENSG00000091831;;ENSG00000105974;;ENSG00000106366;;ENSG00000114251;;ENSG00000122861;;ENSG00000132693;;ENSG00000136492;;ENSG00000139618;;ENSG00000141736;;ENSG00000165841;;ENSG00000173039;;ENSG00000183765;;ENSG00000185499|18
C0006826|ENSG00000010610;;ENSG00000039068;;ENSG00000051382;;ENSG00000105329;;ENSG00000105851;;ENSG00000110092;;ENSG00000111537;;ENSG00000111640;;ENSG00000120217;;ENSG00000121879;;ENSG00000133703;;ENSG00000136244;;ENSG00000136997;;ENSG00000141510;;ENSG00000142208;;ENSG00000146648;;ENSG00000147889;;ENSG00000153563;;ENSG00000157764;;ENSG00000163631;;ENSG00000164305;;ENSG00000168036;;ENSG00000168610;;ENSG00000171608;;ENSG00000171791;;ENSG00000171862;;ENSG00000174059;;ENSG00000198793;;ENSG00000232810;;ENSG00000284792|30
